event	time	athlete	year	gender
rasos100	10.93	MarliesGÖHR	1980	Female
rasos100	10.93	EvelynASHFORD	1982	Female
rasos100	10.93	EvelynASHFORD	1984	Female
rasos100	10.93	MerleneOTTEY	1985	Female
rasos100	10.93	EwaKASPRZYK	1986	Female
rasos100	10.93	EvelynASHFORD	1986	Female
rasos100	10.93	MarliesGÖHR	1987	Female
rasos100	10.93	AneliaNUNEVA	1987	Female
rasos100	10.93	MerleneOTTEY	1987	Female
rasos100	10.93	DawnSOWELL	1989	Female
rasos100	10.93	MerleneOTTEY	1990	Female
rasos100	10.93	IrinaPRIVALOVA	1992	Female
rasos100	10.93	MerleneOTTEY	1993	Female
rasos100	10.93	MerleneOTTEY	1996	Female
rasos100	10.93	KaterinaTHANOU	2000	Female
rasos100	10.93	KaterinaTHANOU	2000	Female
rasos100	10.93	MarionJONES	2000	Female
rasos100	10.93	ZhannaPINTUSEVICH	2000	Female
rasos100	10.93	ZhannaBLOCK	2001	Female
rasos100	10.93	TaynaLAWRENCE	2002	Female
rasos100	10.93	TorriEDWARDS	2003	Female
rasos100	10.93	YuliyaNESTERENKO	2004	Female
rasos100	10.93	VeronicaCAMPBELLBROWN	2004	Female
rasos100	10.93	LaurynWILLIAMS	2005	Female
rasos100	10.93	ChristineARRON	2005	Female
rasos100	10.93	VeronicaCAMPBELLBROWN	2007	Female
rasos100	10.93	AllysonFELIX	2008	Female
rasos100	10.93	MarshevetHOOKER	2008	Female
rasos100	10.93	KerronSTEWART	2009	Female
rasos100	10.93	KerronSTEWART	2009	Female
rasos100	10.93	KellyAnnBAPTISTE	2010	Female
rasos100	10.93	CarmelitaJETER	2011	Female
rasos100	10.93	ShellyAnnFRASERPRYCE	2012	Female
rasos100	10.93	BlessingOKAGBAREIGHOTEGUONOR	2012	Female
rasos100	10.93	KellyAnnBAPTISTE	2012	Female
rasos100	10.93	ShellyAnnFRASERPRYCE	2013	Female
rasos100	10.93	JenebaTARMOH	2013	Female
rasos100	10.93	BlessingOKAGBAREIGHOTEGUONOR	2013	Female
rasos100	10.93	CarmelitaJETER	2013	Female
rasos100	10.93	MurielleAHOURÉ	2013	Female
rasos100	10.93	BlessingOKAGBAREIGHOTEGUONOR	2014	Female
rasos100	10.93	JenebaTARMOH	2015	Female
rasos100	10.93	ShellyAnnFRASERPRYCE	2015	Female
rasos100	10.93	ShellyAnnFRASERPRYCE	2015	Female
rasos100	10.93	ShellyAnnFRASERPRYCE	2016	Female
rasos100	10.93	ElaineTHOMPSON	2017	Female
rasos100	10.93	MarieJoséeTALOU	2017	Female
rasos100	10.93	ElaineTHOMPSON	2018	Female
rasos100	10.93	AleiaHOBBS	2018	Female
rasos100	10.93	DinaASHERSMITH	2018	Female
rasos100	10.93	DinaASHERSMITH	2018	Female
rasos100	10.94	MarliesGÖHR	1978	Female
rasos100	10.94	DianeWILLIAMS	1983	Female
rasos100	10.94	EvelynASHFORD	1984	Female
rasos100	10.94	MerleneOTTEY	1985	Female
rasos100	10.94	MerleneOTTEY	1985	Female
rasos100	10.94	MarliesGÖHR	1985	Female
rasos100	10.94	HeikeDRECHSLER	1986	Female
rasos100	10.94	EvelynASHFORD	1988	Female
rasos100	10.94	MarliesGÖHR	1988	Female
rasos100	10.94	CarletteGUIDRY	1991	Female
rasos100	10.94	MerleneOTTEY	1991	Female
rasos100	10.94	KatrinKRABBE	1991	Female
rasos100	10.94	GwenTORRENCE	1992	Female
rasos100	10.94	MerleneOTTEY	1993	Female
rasos100	10.94	IrinaPRIVALOVA	1993	Female
rasos100	10.94	MerleneOTTEY	1995	Female
rasos100	10.94	GailDEVERS	1996	Female
rasos100	10.94	GailDEVERS	1996	Female
rasos100	10.94	MerleneOTTEY	1996	Female
rasos100	10.94	MerleneOTTEY	1996	Female
rasos100	10.94	MerleneOTTEY	1996	Female
rasos100	10.94	MarionJONES	1997	Female
rasos100	10.94	ZhannaPINTUSEVICH	1999	Female
rasos100	10.94	GailDEVERS	1999	Female
rasos100	10.94	ZhannaPINTUSEVICH	2000	Female
rasos100	10.94	ZhannaBLOCK	2001	Female
rasos100	10.94	ChrysteGAINES	2002	Female
rasos100	10.94	YuliyaNESTERENKO	2004	Female
rasos100	10.94	ChristineARRON	2005	Female
rasos100	10.94	MarshevetHOOKER	2008	Female
rasos100	10.94	TorriEDWARDS	2008	Female
rasos100	10.94	KerronSTEWART	2008	Female
rasos100	10.94	ShellyAnnFRASERPRYCE	2008	Female
rasos100	10.94	KellyAnnBAPTISTE	2009	Female
rasos100	10.94	CarmelitaJETER	2009	Female
rasos100	10.94	CarmelitaJETER	2010	Female
rasos100	10.94	KellyAnnBAPTISTE	2011	Female
rasos100	10.94	VeronicaCAMPBELLBROWN	2012	Female
rasos100	10.94	KerronSTEWART	2012	Female
rasos100	10.94	VeronicaCAMPBELLBROWN	2012	Female
rasos100	10.94	KellyAnnBAPTISTE	2012	Female
rasos100	10.94	AllysonFELIX	2012	Female
rasos100	10.94	BarbaraPIERRE	2013	Female
rasos100	10.94	ShellyAnnFRASERPRYCE	2013	Female
rasos100	10.94	EnglishGARDNER	2013	Female
rasos100	10.94	CarmelitaJETER	2013	Female
rasos100	10.94	DafneSCHIPPERS	2015	Female
rasos100	10.94	TiannaBARTOLETTA	2015	Female
rasos100	10.94	TiannaBARTOLETTA	2016	Female
rasos100	11.02	MerleneOTTEY	1989	Female
rasos100	11.02	KatrinKRABBE	1990	Female
rasos100	11.02	GwenTORRENCE	1991	Female
rasos100	11.02	GailDEVERS	1992	Female
rasos100	11.02	IrinaPRIVALOVA	1992	Female
rasos100	11.02	GwenTORRENCE	1992	Female
rasos100	11.02	GwenTORRENCE	1992	Female
rasos100	11.02	GwenTORRENCE	1993	Female
rasos100	11.02	XiaomeiLIU	1993	Female
rasos100	11.02	ZhannaTARNOPOLSKAYA	1994	Female
rasos100	11.02	MerleneOTTEY	1994	Female
rasos100	11.02	IrinaPRIVALOVA	1994	Female
rasos100	11.02	IrinaPRIVALOVA	1994	Female
rasos100	11.02	IrinaPRIVALOVA	1994	Female
rasos100	11.02	ChrysteGAINES	1995	Female
rasos100	11.02	ChrysteGAINES	1996	Female
rasos100	11.02	GalinaMALCHUGINA	1996	Female
rasos100	11.02	MerleneOTTEY	1996	Female
rasos100	11.02	GailDEVERS	1997	Female
rasos100	11.02	ZhannaPINTUSEVICH	1997	Female
rasos100	11.02	MerleneOTTEY	1998	Female
rasos100	11.02	ZhannaPINTUSEVICH	1998	Female
rasos100	11.02	MerleneOTTEY	1998	Female
rasos100	11.02	SavathedaFYNES	1998	Female
rasos100	11.02	IrinaPRIVALOVA	1998	Female
rasos100	11.02	KaterinaTHANOU	1998	Female
rasos100	11.02	IngerMILLER	1999	Female
rasos100	11.02	ZhannaPINTUSEVICH	1999	Female
rasos100	11.02	ChandraSTURRUP	1999	Female
rasos100	11.02	LaTashaJENKINS	2001	Female
rasos100	11.02	KaterinaTHANOU	2001	Female
rasos100	11.02	ZhannaBLOCK	2001	Female
rasos100	11.02	ChandraSTURRUP	2001	Female
rasos100	11.02	TaynaLAWRENCE	2002	Female
rasos100	11.02	ChrysteGAINES	2003	Female
rasos100	11.02	ChandraSTURRUP	2003	Female
rasos100	11.02	YuliyaNESTERENKO	2004	Female
rasos100	11.02	ChandraSTURRUP	2005	Female
rasos100	11.02	ChandraSTURRUP	2005	Female
rasos100	11.02	ChandraSTURRUP	2005	Female
rasos100	11.02	TorriEDWARDS	2007	Female
rasos100	11.02	MikeleBARBER	2007	Female
rasos100	11.02	CarmelitaJETER	2007	Female
rasos100	11.02	TorriEDWARDS	2007	Female
rasos100	11.02	VeronicaCAMPBELLBROWN	2008	Female
rasos100	11.02	AngelaWILLIAMS	2008	Female
rasos100	11.02	ShellyAnnFRASERPRYCE	2008	Female
rasos100	11.02	TorriEDWARDS	2008	Female
rasos100	11.02	SheroneSIMPSON	2008	Female
rasos100	11.02	AlexandriaANDERSON	2009	Female
rasos100	11.02	CarmelitaJETER	2009	Female
rasos100	11.02	ShellyAnnFRASERPRYCE	2009	Female
rasos100	11.02	VeronicaCAMPBELLBROWN	2010	Female
rasos100	11.02	SheroneSIMPSON	2010	Female
rasos100	11.02	AlexandriaANDERSON	2011	Female
rasos100	11.02	CarmelitaJETER	2011	Female
rasos100	11.02	ShellyAnnFRASERPRYCE	2012	Female
rasos100	11.02	AllysonFELIX	2012	Female
rasos100	11.02	OctaviousFREEMAN	2013	Female
rasos100	11.02	BarbaraPIERRE	2013	Female
rasos100	11.02	KerronSTEWART	2013	Female
rasos100	11.02	VerenaSAILER	2013	Female
rasos100	11.02	KerronSTEWART	2013	Female
rasos100	11.02	AlexandriaANDERSON	2013	Female
rasos100	11.02	JoannaATKINS	2014	Female
rasos100	11.02	KerronSTEWART	2014	Female
rasos100	11.02	VeronicaCAMPBELLBROWN	2014	Female
rasos100	11.02	MunaLEE	2015	Female
rasos100	11.02	DinaASHERSMITH	2015	Female
rasos100	11.02	CarmelitaJETER	2015	Female
rasos100	11.02	DafneSCHIPPERS	2015	Female
rasos100	11.02	EnglishGARDNER	2015	Female
rasos100	11.02	DafneSCHIPPERS	2015	Female
rasos100	11.02	NatashaMORRISON	2015	Female
rasos100	11.02	BlessingOKAGBAREIGHOTEGUONOR	2015	Female
rasos100	11.02	MarieJoséeTALOU	2015	Female
rasos100	11.02	MurielleAHOURÉ	2016	Female
rasos100	11.02	ElaineTHOMPSON	2016	Female
rasos100	11.02	EnglishGARDNER	2016	Female
rasos100	11.02	EnglishGARDNER	2016	Female
rasos100	11.02	BlessingOKAGBAREIGHOTEGUONOR	2016	Female
rasos100	11.02	ChristaniaWILLIAMS	2016	Female
rasos100	11.02	AleiaHOBBS	2017	Female
rasos100	11.02	MorolakeAKINOSUN	2017	Female
rasos100	11.02	MichelleLeeAHYE	2017	Female
rasos100	11.02	TamaraCLARK	2018	Female
rasos100	11.02	DafneSCHIPPERS	2018	Female
rasos100	11.02	ElaineTHOMPSON	2018	Female
